test_system,train_systems,model,strategy,n_train,n_test,daylight_rows_test,mae_normalized,rmse_normalized,r2_normalized,mae_W,rmse_W,pct_prediction_lt_0,pct_prediction_gt_1,daylight_mae_normalized,daylight_rmse_normalized,daylight_r2_normalized,daylight_mae_W,daylight_rmse_W
34,"[10, 1239, 1430]",mean_global,24h_model,8554,1393,1056,0.2343028545278189,0.25723957490088284,-0.07794931622691559,34358.170587959365,37721.611263465464,0.0,0.0,0.2212349894316337,0.2464755408502674,-0.0001913505739481458,32441.898850254773,36143.17331028321
34,"[10, 1239, 1430]",linear_ridge,24h_model,8554,1393,1056,0.11807772126930598,0.156101278883013,0.6030500997690269,17314.91704693103,22890.691535405025,23.043790380473798,0.0,0.11262753375114322,0.15888397156818154,0.5843807901255107,16515.701549267644,23298.745590758142
34,"[10, 1239, 1430]",linear,24h_model,8554,1393,1056,0.11828282351822209,0.15618020093547277,0.6026486165711737,17344.99324071209,22902.264665177725,23.187365398420674,0.0,0.11247561620928653,0.15861259287844065,0.5857993582911908,16493.424360929777,23258.950619694533
34,"[10, 1239, 1430]",random_forest,24h_model,8554,1393,1056,0.10788842411255294,0.15571570922476194,0.6050086079849097,15820.758511864758,22834.15160071909,2.3689877961234744,0.0,0.12587858977078606,0.17383202531923095,0.5024977853830512,18458.83640398807,25490.72819281203
34,"[10, 1239, 1430]",hist_gradient_boosting,24h_model,8554,1393,1056,0.09528187543054849,0.1458276030759406,0.653580564314354,13972.13421313563,21384.15971505593,9.547738693467336,0.0,0.11109072023742382,0.16304269332635743,0.5623387264328665,16290.34321561583,23908.580549377053
34,"[10, 1239, 1430]",mean_global,daylight_model_night_zero,8554,1393,1056,0.18200673744454388,0.2249333152272857,0.17580430187086493,26689.467978867913,32984.221344929174,0.0,0.0,0.22103905187412048,0.2516026076017879,-0.042235144488578236,32413.166566821026,36895.006378726175
34,"[10, 1239, 1430]",linear_ridge,daylight_model_night_zero,8554,1393,1056,0.10060783814840928,0.14812337474500953,0.6425873074335282,14753.133386082736,21720.811672608197,7.106963388370424,0.0,0.1136634205109429,0.1597026807052256,0.5800864874495711,16667.603983724668,23418.801098614284
34,"[10, 1239, 1430]",linear,daylight_model_night_zero,8554,1393,1056,0.1007554034469253,0.14814015237342454,0.642506336054572,14774.772361457126,21723.271944038974,7.250538406317301,0.0,0.11385807814430732,0.15972320772247978,0.5799785352745951,16696.14857908123,23421.811180424433
34,"[10, 1239, 1430]",random_forest,daylight_model_night_zero,8554,1393,1056,0.1151672737129226,0.16496482807472032,0.5566920778647686,16888.12901726297,24190.44238887699,0.7896625987078248,0.0,0.13286919109935869,0.18016805519938917,0.46556976596675237,19483.938182809954,26419.84361443843
34,"[10, 1239, 1430]",hist_gradient_boosting,daylight_model_night_zero,8554,1393,1056,0.10197213894813584,0.15608825128791132,0.6031163527404906,14953.194455354642,22888.781168859314,2.5843503230437905,0.0,0.11546310897118828,0.16941430249211706,0.5274632585701933,16931.510299535053,24842.913317444043
